6E1703,800688
MU2952,780002
TK7011,4BA8D9
UL605,773600
BK2820,78072C
CI62,89901B
RX723,702078
MU2004,780CD7
3U8758,7809EF
RO151,4A08EB
KE482,71C228
9C8891,780F2C
KE658,71BC02
KE667,71BD50
MF8380,780E44
MS711,01002F
CZ649,7807C6
QR871,06A1BE
S7926,424288
FX9074,A008ED
BR205,899050
SG456,800BCE
RL8506,4242EF
FD562,880444
IA162,728668
KC401,4844A2
MU5082,79A034
CA4540,780DF9
6H711,738286
QR964,06A0A7
JD5788,780D7D
TG635,885157
DY4601,47A039
HU469,780C58
WY264,70C09E
KE9169,71C272
MU5013,780D94
IX434,800B9A
OZ747,71BF46
CZ6602,7802A5
MI472,76B4EA
PR110,758307
HO1311,7808E4
EK130,896168
EK124,89610C
CZ371,78058F
TG647,885225
EU2290,780D6B
EK112,8963D6
Z92011,68323E
ET840,040015
EY283,8963AA
KY8274,78106A
QR1336,06A0BD
9W309,800547
EK51,8960F4
OS874,4400B2
VJ5316,888151
5Y517,A561FD
RU721,424379
HU7702,781002
AI609,8004BD
KA168,7801C2
UW9946,798012
TK2470,4BAA79
BL139,888146
S71124,4245B6
IX115,8003F0
4B6488,14FA34
TR564,76D24E
QF130,7C5320
XY707,424178
QF7532,7C1505
FD528,880459
QR8953,06A192
QR1374,06A0AC
G8584,8006F5
CZ359,780C75
3K552,76AA65
EK361,89630E
JD5278,7806C5
EK9843,896172
GS7464,7812BA
MF8675,7808D2
BA125,40058C
LX242,4B1880
QG5680,8A05D5
EK206,8960F1
CV415,4D012A
PR360,758335
VN10,888139
AK23,7503BE
FZ619,896377
FZ159,89637A
HY273,507C49
TK757,4BA915
9C8510,78080D
BX612,71BF29
NH801,86EEA0
EK262,8960E2
KC875,4844B7
OZ741,71BF75
AI343,800740
6E693,800466
UQ2538,780F0F
EK9887,4D012B
MS959,010153
LX146,4B187D
NL713,76098A
PG881,884203
CA1668,7806F9
SU6895,424963
EK357,896213
QF118,7C4925
JD5551,78059A
SU1862,42432C
7C4703,71C090
SV1774,7103DB
FZ341,89646C
OD162,7503D9
MM858,86D2B7
9W584,800705
BS333,702075
KA250,7801B1
HX27,780A06
VN7277,8880C5
AF226,394A04
GT1072,78053A
FD137,880854
D72,7503AE
KC249,48448D
CA838,780873
QR1362,06A030
MF8103,7802E6
HY646,507C43
S71024,424420
KE689,71C227
5O778,396663
SV788,71005F
CZ8401,780BD3
TR578,76BCC4
BG35,70203E
ZF8888,424281
EK128,896476
WY143,70C0C6
JL707,86D996
BR179,8990B4
MU5311,780B2D
9C8971,78085F
CA784,7811A3
CZ3080,780293
QR817,06A0FC
TV9885,7810A2
HU7995,780AE9
TW107,71C300
GF65,894074
HY533,507C4B
CZ8479,78007C
SG912,800B81
FZ7437,896469
JL751,86DCA2
CZ8368,780996
SV835,710130
MI474,76B441
CA811,7808C9
MS921,010091
DP818,42436B
KU166,70604D
EK5,896184
TW302,71C294
ZH9052,7811A9
KE2115,71C241
VJ5378,888150
MF8471,781117
HY601,507C4D
8Y600,758505
DP105,4343C9
EY487,8964C3
FD170,880855
BI97,895057
UL884,7705C3
3K696,76AA72
KE607,71C011
CA1492,780E1D
UK940,800B6F
GT1084,78119F
EK573,89611A
3U8856,780958
CA797,78028F
FZ521,8963AF
QR947,06A0FB
G8122,8004D8
GJ8882,780FE6
9W354,800B1C
6E237,800BEB
LJ59,71BD55
J28051,60084F
MI456,76B4ED
LH630,3C4ACD
MF8673,780E4B
JT110,8A0577
MH179,750223
SV552,71004B
A9695,51404C
MF8167,780794
9W119,800BDB
DR6516,780035
EK584,896308
TG345,8850B4
IR722,732443
HO1716,780422
QR185,06A0BE
EK155,89620D
NH805,86E866
HO1176,780F9D
HU7112,7809DC
TG931,8852A3
NH833,861EB4
VJ5487,888126
CZ8483,7808C3
UL229,773800
MH71,750259
NL718,7609AB
QR933,06A19E
EK319,8960F0
UL407,770451
FM831,780B2F
5J716,7583A5
HU7880,780D65
QR826,06A0AE
TW129,71C070
QF19,7C1475
TK93,4BA933
KE123,71C025
SV802,710106
QS1201,49D3D4
W5142,7335D8
XY301,4247A9
EY475,8960C6
GS7892,781322
SG51,80074D
W62250,471F59
AI264,800BE6
MU712,780BFF
G8446,800B0B
HX623,780A99
JD5628,780EC8
LY397,73806C
MT2760,400901
MS965,010154
CX354,780AAA
TG315,88003D
TG684,885043
3U8064,780C2B
GF16,894077
MS677,0100DD
SC8826,780DED
SL8027,883296
IX248,80044A
MU5814,7812F5
CZ6560,780F7A
BR659,899121
TG935,885106
HU7881,780D11
RS531,71BA12
EK160,8963D4
TG911,8852A6
AH3060,0A0084
KA154,780A7E
9W497,8001CA
SV1117,710126
VN695,88804D
I51585,800C4C
TV9934,7806D9
6E185,800BC0
MH190,750256
CZ6918,7812DB
KA265,7801C6
5J378,7583A4
FZ251,896379
KY8302,781244
JL724,86E780
FD3168,88084C
EW120,3C15C2
AK5119,7503F6
CZ6713,780F11
MU5045,7805BB
9C8894,7811B0
SC8899,781171
LJ71,71BF50
AK53,750140
3Z7607,505E67
UL196,770452
HX77,780A5D
UK992,800C3C
OD610,750403
JL711,867556
EK131,8960D9
AK13,7503FD
QR219,06A08A
HU7096,7800DA
OD612,750407
AK1241,7502AD
LH8479,3C706B
BY690,4067F8
PK769,760918
ME428,748017
CX697,780A58
CZ391,7807C0
9C8752,7809AC
FZ899,896468
TW151,71C086
HU7958,780E98
XY265,42414D
QR8940,06A1E9
VN7228,88809E
EK22,896192
PR1871,758404
MU598,780E3B
Z29047,75832F
DY7205,407394
TG657,880044
ET603,040134
EY279,89629C
AK31,750109
VJ5349,88811A
FM861,780EB2
EY234,896440
AI468,80057C
KE5,71C275
CX676,780AAB
FZ746,8963B4
PN6224,780F51
CA1883,7808C6
RL8892,4243ED
HU7780,781003
VN7264,8880D5
QR5,06A0C2
U6887,424562
CZ633,7808AE
RL7559,424310
MU232,78122F
MU2278,780651
QR307,06A153
6E402,800689
PK743,760982
FD573,880853
SV888,7100B3
PS780,5081E7
VJ146,8880C2
PA670,761487
QR639,06A03C
VN768,888052
ET877,040039
SV261,7100B9
MU2498,780F30
CZ3029,7802F2
Y7520,4249D9
U67020,424362
QW9797,780F7D
TG937,885175
SG703,8005D6
TB7827,44A833
CZ328,780994
CZ308,780747
FZ834,8962C1
PR116,7584FA
CI6596,89911E
LY325,7380AC
SU1106,4242C3
CX611,780A2C
MU780,780F39
FZ612,896333
6E476,80071A
TK2014,4BAA43
VJ5383,88803E
HO1125,7810EA
AQ1068,781029
7C3154,71C050
QR859,06A2B1
SQ377,76CDA9
WY294,70C0C0
AK63,75010B
SC1156,780823
KA727,780A80
SG23,800BC6
TV9878,780F88
LX188,4B18FD
CX846,780A8A
ZE551,71C048
MU2823,7800CE
TG955,885179
Z92050,683221
EY431,89612C
7C2203,71C088
TK731,4BA9CB
DR6560,7810CD
TG951,885177
MU7081,780EBF
EK303,89618D
EK9874,8963A3
CA1426,78100B
AF1621,3991E4
5J579,7583D1
QR281,06A098
TG329,880046
MU2304,78122E
3S516,3C4586
7C2803,71C295
MF8394,78110E
SL8023,88328B
WY695,70C09A
OZ709,71BA48
CI837,8991BC
AI775,800BFB
9W811,800486
6E735,800601
VN493,88807A
OD666,7503C2
AI993,800411
WY208,70C0C7
LH612,3C6758
EY473,8963CF
CZ3962,780C78
9W512,800B1D
OZ609,71C039
3U8827,7804D9
SU5468,4243E5
XY41,42479D
RB442,778565
E47538,4891B2
AI631,800BEF
AK128,75043E
CZ6420,780519
IR715,7324A6
SQ365,76CDB0
JD395,781133
SV826,710064
MU5726,780E82
HU7282,7808A0
WY248,70C0A9
EY451,896405
TG916,885172
WY909,70C0DF
ME267,5000B3
3U8372,780CEF
SV761,7100B6
JW309,841500
7W3051,50822E
HU408,781001
KE121,71BE13
KU104,70605D
QR849,06A04C
FZ743,8964D3
QR400,06A13C
7C2405,71C296
BX373,71BF22
KE955,71C276
TK2706,4BA8CC
U25832,40666C
ZE593,71C292
SQ51,76CDA6
HO1349,78095E
JT2633,8A0682
CX419,7801B4
6E671,800BDF
PC2825,4B9066
TK2832,4BAA46
3Z7616,C078B1
MU2323,780669
HO1357,780882
UL232,7705C2
EK858,89639E
SV594,710105
SQ981,76CEC9
TK91,4BA949
CZ456,7804C6
OD215,750404
CA945,7804CA
JQ26,7C6BC3
8L9955,7810C1
SC8426,780D59
9W372,800B1A
GS7865,780D31
QG527,8A064C
UQ2514,780E7C
EK355,896456
Z92009,6831F5
MU2868,780F41
6E6726,800B75
ZH9015,7808B3
UL205,773645
GF173,89405E
OD185,75041D
HU7195,780EA8
CZ6211,7807C2
SL2700,88328F
W5114,7335A8
SU1364,155BD4
CA4536,781159
SV817,7100C2
KU156,70604E
KA809,780125
TR106,76BD43
9W442,80046C
VN54,88812B
SC8835,78111B
BR672,89908C
CX408,78016D
QR297,06A095
3U8862,780467
CZ3440,78070A
HO1321,7804E6
GJ8002,780F06
SC8828,780D5B
GS6509,7811FE
SC4891,780FF2
JD5714,7804D8
D0547,405F33
FZ143,8962BB
CA4309,78103A
QR655,06A136
NH844,86E844
CZ8357,78111F
MU2817,780EF0
NH880,86EBFA
IX163,8003B0
TW105,71C098
ZH9640,7BB12B
SU234,424922
I5721,800C29
KE644,71BD32
ZA418,E47E75
KE593,71C075
MS672,0100A6
I5773,800B40
MU5710,7812F4
TK415,4BA90B
QR679,06A01F
EY265,8963AB
J9240,70620F
JD5194,780DF1
SU1302,424377
GF79,894061
BX735,71BF35
3U8809,780DDA
AK123,750419
EK503,896177
AI43,800742
BA12,406B22
G9339,896413
PC2502,4BB84B
6E3869,800519
KE649,71C248
MU5492,7BB0B4
OZ357,71C038
TK170,4BA9E7
AI924,800BF9
XJ703,886281
PS6012,50836B
WY131,70C0F6
FZ728,896332
VJ248,4B9902
OD223,7503DF
NL709,760989
NZ286,C820D4
KE474,71BF09
6E1303,800B13
MU281,780EBC
BI652,895055
8U421,018070
MU2574,781017
TK172,4BA9E9
5P5673,489C03
FZ758,896334
RU797,4243FF
CX649,780235
J29575,424382
TK1610,4BAAD2
FZ912,8963B3
9W11,800720
Z2616,758042
9W127,80071F
JD5674,78085A
EK419,8960E3
TK27,4BB142
T5707,601832
3K722,76AA6F
S7684,4240CE
SL8032,88302A
LJ31,71BD62
AI22,800415
6E647,800468
NH807,869122
6E556,800626
5J410,758228
SV124,7100B4
SQ337,76CDB1
CX288,78023E
AK5875,7503B1
TK85,4BA94A
AK117,75043F
CX155,7801CA
LH764,3C6704
MI442,76CC45
WY153,70C0EF
G9445,8962D1
SV769,710052
G9538,896383
D7316,7503A9
SG198,800BCA
G9551,8962D0
LH692,3C6668
CI5107,899106
CZ6956,7802F0
PO989,A62EE6
CZ321,780BDA
OZ625,71BD16
IA224,728644
QR891,06A046
CA9686,780FDF
9W628,8007C3
AK5134,75033D
UL220,77044E
FD2102,880851
SG877,8007F0
MU5646,79A060
Y71042,424939
MH52,750260
VN7295,88808C
AQ1022,7811A1
SV871,710058
QU4433,5082CB
EK726,8960E0
TR897,76BD41
AI55,800C48
9U172,504D51
MU561,780D9D
TG925,88006E
S71165,4240CC
SV637,710081
FD605,880843
OQ2360,780745
SV982,710103
ZO4039,7368E2
S7604,424251
OZ751,71BF47
CA425,78028C
SQ424,76CD67
9C8802,780305
EK98,896182
PR102,75827C
OZ941,71BC15
NX829,780EB3
BR25,89900E
HU7716,780566
TK2716,4BAA4B
CX123,780AB7
OD241,7502DB
SJ3123,8A05E0
KE653,71BE19
EK720,896318
DV734,503C79
3U8108,780DDF
EK91,89647E
CZ3114,780B14
9W715,800B1F
OZ733,71C259
LH760,3C65A4
FZ557,8963BB
ET673,040046
AI349,8005F2
JD5658,7804D5
MH194,75025B
U62466,424363
SQ305,76CEE5
EK347,896482
LH600,3C4A8B
CA941,7808A9
EK810,8963D2
PC387,4B8E16
EK333,8960DB
SV783,71004C
G8118,800BF3
LJ63,71BF86
SV120,710121
KQ113,04C11B
ME212,748029
BK2867,7800CF
VJ160,88811B
VJ249,88813D
HX613,780A12
6E856,800624
RU9767,424564
5J14,75832A
LH756,3C4AD4
PC2532,4BB841
KE677,71C243
CZ8309,780998
MH386,750220
S7890,424549
NH827,86D572
CI5826,89911F
9W554,800B1E
EY440,8961E6
FM880,780F85
QR635,06A019
QR835,06A1BF
RU792,4240E6
EY405,8963CC
MT993,406D37
QD705,70E053
9W17,800556
AI965,800050
HO1284,780BE7
3Z7601,49D034
DV702,503C71
EK207,8960E5
3U8766,781014
LY333,738064
RU774,4245FB
KE315,71BE29
8L9986,780C19
HV6902,48520A
G9956,89642E
CX161,780A98
IX612,800B9D
FZ843,896331
PN6350,780E86
3U8892,78075E
MU5768,781016
AI610,80057A
ZF7744,424324
HU6225,781063
AF218,3949F4
3U8988,7808F4
PR119,7584F9
MU7097,79A075
9C8759,780DC6
DI7407,40742D
6E136,800BB7
EY401,89612B
AK1575,75033B
CZ6962,780865
KC983,48433E
MU2928,780603
KE661,71BD86
AI995,800732
6E832,800596
CA796,780276
AI383,800C42
HO1126,780F0A
CX234,78022C
EK383,8960EB
VN18,888138
VJ281,888142
ZA457,70E05A
TG971,88516C
6E24,800B12
MU236,781104
IX346,800449
BR52,8990E4
AF192,3949E6
D7776,75026B
5Y595,A62778
FV5502,4243BF
EK373,896478
EK817,8960C9
6E566,800C70
RJ614,740731
TG921,8852A5
EY902,896441
CX721,780A94
Z92025,6831F9
QR77,06A0DC
FD352,880458
VN7276,8880F1
9W568,80065D
FU6556,780B99
FD767,88045A
EK782,896169
TK2008,4BA8E7
CA979,7BF014
AI951,800441
LH624,3C6571
TR189,76BCC9
WY238,70C0C3
NH814,862226
LJ37,71C012
AL603,0101C3
G9952,896434
3K538,76AA76
RU620,42431B
WE343,885313
ME442,5000BB
MS855,010147
VN875,8880A4
3U8844,780E4E
XQ7618,4BCDD2
HU7876,780D10
TG337,885153
FM9560,78065A
MU9742,780E81
9C8519,780DC9
LX294,4B1881
9W235,80071E
SV571,7103DC
EK904,896115
EK631,8963D5
VJ5103,888141
TK7191,4BA8E2
HO1345,7806E4
NH8415,86D9AE
JD5677,7806BE
CX746,780A4B
AF934,392F2D
Y87502,780BDE
CZ327,7807BC
MI468,76CD89
G8218,800BB9
QR171,06A0A8
BR88,8990DA
F3143,710128
6H254,738285
9C8973,780AD9
LY76,738073
EK367,896189
KA870,780126
QR651,06A08F
U67001,4249E8
SV527,71008D
CZ8339,780DAD
PN6298,780726
AI335,800BD4
EY293,8963A9
CZ381,781147
CA1346,78103E
Y87556,7810F1
G8262,800C06
3U8232,780B87
7C3404,71C263
EK50,896180
EK78,896477
SG264,800AF7
JW179,846B34
QF10,7C4926
ZE503,71C264
EK730,896110
CX270,780A9C
WY681,70C0E0
EY811,89613D
KL877,485785
MU5172,7802C8
AQ1034,780D03
UA199,A31A50
HU7347,780E2E
CZ6630,780D0E
JT2611,8A06B5
WY816,70C0CD
9W722,800B95
K4250,AA0559
SU2133,424117
MS913,01015C
KU503,706026
KL567,48436F
G9428,896337
AK69,750106
QR15,06A0F9
QR931,06A0BF
MU2803,780456
I51729,800C83
SQ502,76CE2E
SQ391,76CECA
BR67,8990DD
UL225,77058D
CX731,780190
PR512,758403
AI973,800543
SQ615,76CE9A
KL535,484CC6
ME202,748051
FZ57,89637B
NH803,86CEF4
KE641,71C274
2P2388,75824C
LJ75,71C014
9W739,8001D0
OZ743,71BF92
TR572,76D243
CA174,780C9E
U62841,424616
GS7667,780E9D
6E39,800B2C
6E6446,503C61
FZ795,896378
AI162,8005EE
QR668,06A138
OZ767,71C293
FZ306,896330
CA4174,78076F
ZA489,70E059
SQ7,76CEFA
HU7090,7812EC
LH648,3C6570
8L9946,78055E
9W75,800BD7
MH180,75020F
CA1950,78115A
QR37,06A0F8
TG307,885154
9C8530,780083
AK103,75015B
UK719,800B24
9C8871,7805E9
CA1862,780B5D
ME306,748020
CA166,78115C
KL565,48404E
XJ611,886286
TK2610,4BA96F
TR574,76D02E
EY833,896385
SV928,4B8466
EK88,8960F6
KC139,484128
HU7068,7812E6
WK67,4B188A
ZF1241,4243F8
6E5153,8007DD
9H8362,7811D3
AQ1106,781027
SU527,4243FC
LJ52,71BD59
CX320,780A38
LH590,3C64ED
SQ317,76CD69
FX5311,A7A557
SV1909,71008A
Y97015,742834
NH879,86EBD8
PS714,50837C
AK532,750111
MH2,750291
OD621,7503D8
9W264,800754
CA770,780FDB
ET808,040131
EY277,896386
MU5035,780C4E
UW9941,798006
JD5122,78096B
MU749,780C4D
EK9881,896228
AY132,461F53
QR207,06A01B
LY2523,738061
G9283,896497
NH830,86D5B6
SG424,80070E
PR493,7583E2
JW107,846078
FD130,880841
EK9820,8963A1
EK184,8964A0
SV1433,7100BC
AI93,80047B
FD431,880857
KL421,4850E6
TK7145,4BCC2B
UL172,773644
EY271,8961E8
NA26,0101B3
VN547,8880ED
TK825,4BB1E7
XQ9358,4BCCB9
ET920,04012A
7J645,5152EF
VN7279,8880A5
UQ2530,781040
6E1406,8007B0
EK56,8963F3
SQ322,76CD68
6E278,800C40
I51563,800C1C
RJ167,7415A1
SV1045,710062
EK36,8960DD
SZ255,515313
GK35,846DC8
KC970,48435B
SU1144,155BDC
UT562,4249CB
J9538,70620D
QR442,06A1C4
CA805,7807CD
TK7272,4BCC46
UO624,789206
CV795,4D010C
EU2212,781025
6E488,800629
SV3347,710049
2P9742,75824E
AI907,800413
LY342,73806D
7L777,424407
ET900,040106
8Q63,4BBC4B
3U8925,780B01
EK125,89630B
BA16,406590
IG7866,4CA682
MU5472,79A04D
LH580,3C648E
LY391,738052
MU5612,780583
LY561,738065
SU1186,42442A
S797,424047
SU521,4243EF
QR540,06A0B1
EY244,896327
W64451,471F8B
SG16,4B8DF2
SZ9112,48435F
KK1336,4B968E
EY972,8962E7
BL621,888144
TK7207,4BAA04
S7896,4249E1
QR1370,06A139
PA411,760481
ET915,040125
TK788,4BB145
BL171,888149
EK661,896215
6E564,8007E0
SQ468,76CE62
AI306,8005F3
TG640,885047
JL726,86E452
6E648,8005F6
NX881,7811D8
MU543,780851
GS7953,780D33
EK136,896319
ET365,040086
W66259,471F92
EK74,89647D
9W462,80046B
AI176,8005EC
AK5649,7502CA
UO614,780AC5
PN6372,780E9B
SG87,8006FC
6E73,800AF5
FD3113,880453
8Y704,75847D
CZ6089,780ED0
MU2936,780DE3
S7922,42404E
CN7140,7805A5
PG280,8840F7
EK140,8963EE
AI127,800584
UL124,773500
LO155,48AE82
MS772,010146
6E5405,8005DD
A9758,51408F
D7550,7500C8
EY223,89643F
SV867,7100B7
AI774,80052E
ZH9164,7805B5
NH818,86D98E
BR28,899036
DY7209,47C5CB
PN6229,780EF2
