6E949,8007B3
8L9890,781073
AF448,396448
PR110,758307
NA19,010140
MU2278,781231
SU1143,424599
QF25,7C4774
9W123,800BDA
JD5196,780EC6
JT118,8A0578
SU6163,42431E
UK734,800B25
GS7953,780C6F
S71216,4243CD
LY312,73806F
SU6113,4242D8
EY255,8961E9
ZO4032,736835
EK904,896209
KA168,780239
HU7923,78129E
XY381,4241B0
CX44,78021C
5P5644,489C03
EK383,8960E9
3U8412,780E53
6E39,8007DE
MH114,75020E
UO817,780AB3
D7550,7503E0
7C2251,71C019
9W462,800174
NH8531,861B47
ES161,89407D
6E237,800C6C
3U8762,780CE9
QR297,06A02E
QR8418,06A2C9
VJ8791,88813F
OD223,7503DE
9W206,80067C
PR100,75833C
PC2795,4BB848
SU521,4243D5
LX242,4B1881
FZ57,8962BD
XW885,886043
SV9335,4BBC6C
UQ2516,78104E
EK702,896480
AQ1034,7811A1
JL34,8674AC
TR572,76D249
BA12,40688B
BX721,71C213
FZ557,8962B5
EK202,896190
FD137,880854
QR651,06A08F
TG955,885172
AI23,800BEF
MS913,010143
KL565,484001
KL445,484FFF
9W11,800B65
I51729,800B09
OD231,7502C3
AI995,800741
BR28,899040
IA421,728676
RJ641,740737
KL571,48436B
SV7408,3C0974
FZ34,8962AB
BR205,8990C7
TG971,885176
JQ12,7C6BC1
ET878,040079
MU737,780851
EK9887,89616D
3U8809,780B67
JT2781,8A036D
9W812,800506
JD5146,780EC5
Y97081,73306E
KK1283,4B84E7
AF662,394A08
FX5384,ABC1DA
WY294,70C0C2
6E5153,800465
9W584,8001D0
8Q4954,4BBC4B
IX813,800B9D
CI64,89916B
W63255,471F80
WY264,70C0A9
TN1701,3A24C5
CZ604,780709
QR921,06A066
HO1077,780589
IA162,728675
MU573,780C4E
EU2212,7810EC
S7762,4242C9
GA984,8A003A
JD5530,780FA4
OZ767,71BF92
CZ8483,7808C5
EY475,8961A4
3U8108,7805A1
QR307,06A152
GS6509,7811FE
6E1303,800629
AF258,3965AF
BA107,40073E
AI343,8005EC
EY312,896327
QR219,06A088
KE313,71C046
AI127,800585
CX216,780AB8
5X99,A77B6F
AI468,80053D
KE2115,71C241
5X84,A2FEB8
VJ5127,8880B6
QR185,06A0C1
I5721,800C4C
6E693,800C37
CZ8449,7BB0BC
EY873,8964BD
KL871,484006
UL205,773645
NH8533,86EF62
LD326,780223
GJ8882,781132
PC2503,4B8E0D
9W577,80065D
TK7011,4BCC66
EK180,896304
SG23,800C2A
MU715,780B7F
MU2067,78078D
NO947,3004B3
AK31,750323
KL877,485785
J9538,70620F
9W592,800B1A
9C8550,780D74
MU2128,780D1D
HU7282,78097A
3U8758,780C2F
TR564,76D035
Y97098,5083C4
3U8303,7810D4
TK168,4BA9E8
DK2552,40081B
TG937,885179
TG962,88516C
G8105,800C79
EY867,896465
MU2174,780B37
WY909,70C0AF
6E342,800BA7
ET603,04012B
MU711,780D23
VJ179,8880E9
SQ502,76CE4D
JD5269,781297
EY612,8962E4
5X63,A7E310
KU156,70604D
JD5238,78059A
GF16,894077
FZ718,8963B0
7L875,600BBE
SG456,800BCD
BX612,71BF63
VN529,88808E
FZ834,89637A
UK992,800BAF
UO57,780A90
5X4,A26BE1
BG49,70203E
7C3452,71C063
CZ663,781146
HU7810,78129F
TK85,4BB141
QR807,06A069
AI805,800400
LX188,4B1903
EK355,8960E7
D7377,750073
EK175,8960D9
QU4437,5082CB
7C2107,71C090
XY510,424178
IA201,728677
TG941,885102
CZ8439,780CAF
WE343,88530D
5J129,75829E
RU467,42431A
EK206,8960E2
B2973,51008E
FZ843,8962BC
FZ576,89648D
HU7311,7809CF
W62250,471F8F
6E185,800626
6E735,800BDF
EK858,8960EB
EK720,89620C
7W3051,50822E
SG108,800AF6
QR964,06A0A9
EK5,896458
UK940,800B23
9W442,800554
CX260,780201
FH8188,4B9903
CZ6918,7812DB
AK5741,750105
GS7464,7812BA
GK51,841400
G8122,8007E5
DD3140,88105A
MU2053,780EBF
W61289,471F89
HX613,780A05
5X118,A3577D
MF829,780D77
CA174,780BF8
SL8023,883299
5J242,75829C
LH8391,3C706E
I51459,800BE9
WY248,70C0BF
QR8437,06A1EA
OD185,7502DB
IX394,800B99
FX5607,AD2F18
AI983,8003E6
6E402,800B3E
SC8899,780FF3
MU5180,7803EA
8Y704,7584FB
3U8862,78075E
ZF2535,424988
AK123,750419
EK130,8963D2
FM857,780D56
CA1553,780ACB
CX2067,780232
XJ607,886282
SQ615,76CE68
CZ327,7807BC
GS7945,7810FB
G8806,800538
NH843,86EBD8
AZ812,4CA843
G9551,896400
QF26,7C4836
EK131,89618E
CZ381,781147
SV835,71002B
T5921,60183A
AK1241,750146
XJ611,886283
GJ8002,780F83
KE9169,71C272
QR5,06A0AF
MF8675,780016
IR438,7324A2
QB1268,731A35
OZ709,71BD16
CZ646,780708
TG911,88516E
MU547,780560
FZ724,896331
S7531,424131
QR163,06A0B7
QR835,06A071
EK503,896168
KA154,780162
5X33,A782DD
KE474,71BD86
TG931,8852A3
QR8631,06A190
CX234,780204
G9271,8963FF
FX5199,A0105B
3U8723,780B85
HO1397,7806E3
9W17,800B1E
EK726,896219
PC2825,4B9061
MS788,0101BE
3U8376,780510
SU275,4243DF
MS736,0100EC
FD605,880850
AI264,800BD4
5J75,75816E
AK5133,750288
XQ9306,4BCDE6
EY405,896354
ME428,748029
5J5057,7582B4
D7316,750334
QR171,06A0BA
SV861,710057
LH624,3C6568
ET817,040076
FD569,88084A
LH756,3C4A8C
AI47,8005F4
PX19,89806E
SV6874,4CC3EB
RU485,4243C1
WY153,70C0F6
MS690,010162
QR635,06A04B
BR75,8990DB
EK419,8960E4
TG647,885226
FX17,AC297B
SU2523,424298
WY208,70C0E1
9W354,8000FD
CX676,780AAB
CA941,7808A9
MU232,78009D
TR578,76BCCB
TR893,76BCC4
SQ351,76CEED
HV5803,485061
NL715,7609A3
JD5566,780FCC
PC2704,4B8E16
9W617,8001CC
MU2323,780534
GJ8658,780E17
EY2,8964C3
3U8234,7811E1
CA905,780E76
LX154,4B1880
ZF2443,42425A
IX612,80044D
ET824,040103
FZ798,8964D2
5J716,758225
PR104,7580F0
QZ253,8A017C
CX731,780A58
KZ283,841EE3
6E856,800C75
AQ1052,781026
TR596,76BCC5
FD676,880453
FZ631,8962BF
EK94,8960CE
MI472,76CD93
HU7387,780DCE
RM795,51402C
G8118,800C69
SG198,80070E
BX373,71BF31
7C3108,71C234
EK303,896198
SV775,71004A
7L262,4243C3
SV644,7100B8
6E263,80068E
3V51,44D102
KQ887,04C11B
TV9900,78085E
MU764,780CAA
9W548,8005A2
OD618,750408
Y71042,424939
MF807,780C7F
FD3012,880C42
QR1324,06A04A
NS3518,781036
EK730,8963E2
UL215,7705C1
TK255,4BAB2C
OD162,750402
IA164,728639
AF293,3965A2
DE3,3C49E6
FZ912,8963B1
W51044,7335C9
UT273,424905
QR957,06A0A8
UW9948,798006
FZ251,896335
KC917,48412D
QR261,06A153
UA37,A31A2D
7C4206,71C089
QR8755,06A192
Y97056,733072
IK2497,424266
QR859,06A2B3
JD461,780E67
LH758,3C64C5
7C4703,71C295
8L9870,780913
CX320,780A62
BX7193,71BA11
EK762,89610D
6E1703,800628
BR52,8990E6
6E3869,8005F7
CZ8403,7802A9
FD3023,880852
AF218,3949F4
CX721,7801B6
QR934,06A13B
3U8647,7809EF
BY354,406C6D
TK25,4BA953
AI907,80047B
TR566,76D038
GK11,841794
LH768,3C1298
TG951,885178
EK88,8960F0
SQ326,76CEEE
LH689,3C6486
LJ37,71C224
VJ5381,888136
JW107,8467A0
6E706,800BB6
QR400,06A072
AI22,800414
9W550,80065F
ZE551,71C058
CX376,780ABA
9W67,80065E
EK373,8963F5
AI939,8004FE
BR88,8990D3
EY279,8962E3
OD215,750406
CZ6531,780AF2
CX8463,78018F
QR1144,06A1C5
AI926,800BFA
BI97,895057
MM989,86D2D9
ET305,04000E
LY317,738072
AF257,3965A0
QR871,06A19D
SV788,710104
AM96,AD727C
IT308,89902C
VJ838,88811C
9C8530,780C64
ZP4112,600865
KC987,484356
AI331,800732
KE8367,71C005
QR649,06A092
PG881,884202
TK788,4BA94B
SU2073,424365
VN7183,88809B
IV28,734D02
XY301,42417D
Z2941,758330
W64451,471F8C
QG8816,8A04A9
CX873,780203
Z29047,75853A
JD456,78058C
CK234,78029E
SC4891,78111B
G9628,89634A
TK383,4BAA4D
ME368,50005B
EK134,8960D5
3U8058,780CEE
PR659,7582F5
ET414,04003B
PC2372,4BB84A
7C2405,71C206
CX155,780236
PC2826,4B8E12
ET850,040045
PK726,7608FA
ZA456,70E059
JD5754,780C0B
SG424,800BC8
OZ3535,71C004
HO1314,780976
CV756,4D010C
MU2823,780F91
S24417,8001FE
SV589,7103DD
5J14,758328
D72,7503E2
PN6372,780F52
3S518,3C4582
SU1144,155C10
9H8362,7811D3
PR119,7584F9
3K722,76AA70
HX9490,780A1E
SG143,800407
QR679,06A046
AK5649,750450
TG961,88516D
J9607,70620E
I36603,735023
6E291,800C6A
NL3,7609A9
EK262,89647E
OD271,7502C4
SV3829,710048
GF973,894065
CA797,78031D
SG264,800AF7
BK2780,780E01
MS672,0100A3
CA4375,781160
PS272,5081EC
9C8802,78082C
ZE541,71C292
GF15,89406E
KA727,780A82
WE335,885304
UK870,800BD1
AZ770,4CAA9B
TK6528,4BA88F
GF79,894059
ZE503,71C269
LH764,3C6702
HO1311,78083D
QR280,06A098
AK39,7503B2
FZ662,89637B
AI162,800737
TG925,88006D
EK361,8960D0
GA980,8A0579
BA125,40058C
HO1357,780EE4
QR826,06A0B1
9W233,800721
SQ345,76CD6E
9C8971,780D73
IR722,732541
QR1354,06A029
AI172,8005EB
SU2133,4242C4
CZ3029,780379
BR61,8990D6
9W75,80071E
G9445,8962D0
5J363,75816D
QF10,7C4928
SV2071,4CC3EC
UL207,7705C4
JT2627,8A03F7
FX5986,ABC591
3U8834,780959
VN7299,8880ED
IX434,800B9A
SV809,710058
JW309,846078
NL706,7609CA
EK724,89644A
G9952,896413
CX252,78023C
SV1240,710095
OD241,7503DB
HU7995,780373
QR15,06A108
KC312,4844BA
AK63,75013F
QR1352,06A02D
VJ864,8880F3
XY707,424149
CA715,7800E4
KE467,71C249
CZ6057,781149
AK103,7503B1
W51152,7335D8
GF186,89405A
HO1321,780882
CZ6089,7802AD
5X3,A27ABD
QR229,06A061
TW302,71C030
F3112,710129
I51585,800C45
OZ552,71C258
AH3060,0A0084
PA871,761488
KK1004,4B9696
WY336,70C0A1
UK719,800BB0
JD5756,78085D
MU555,78034A
SV640,7100AE
MI488,76B4EF
SL8050,88329A
PR2820,758343
6E676,800627
AI951,80052B
AF165,3965B1
6E6248,800BAD
J9240,70620A
SV1533,7103F3
6E129,800B2C
MU2045,79A035
HU7347,7800E8
EK187,896110
CZ633,780748
TW129,71C237
CZ3434,780451
4B9612,14FA20
CX697,780A49
SU2143,42437C
HU7096,78097F
ME442,500058
TR501,76D036
GT1084,78119F
SN601,44CCDA
9W556,80046D
QR947,06A103
JD5278,780C0A
SC4079,78116C
5X10,A2BE96
NP171,010116
WY824,70C0A5
VN54,8880E1
VJ5247,888134
5J982,7582E6
EY293,896397
9W372,800486
DR6522,7810CB
CI5255,899113
EK152,89647B
CX611,780A4B
G9339,896401
SL8018,883291
TK757,4BA916
VJ5396,8880EF
EK980,8960DE
NX881,780345
TG315,88003D
G9956,89642E
MF8693,7804F1
WY238,70C0DF
QR849,06A03C
LJ31,71BD67
MU780,780F3D
SV1558,7100A8
ET871,040104
FZ728,8964D1
9C8973,780EDD
FD528,880458
UL220,773500
CX288,780213
SZ301,515313
OZ743,71BF32
UO627,780AC5
GA86,8A0451
HU7716,780586
SV594,710107
EK782,896175
CZ658,780F15
WY647,70C0CC
MH192,750201
ZE513,71C264
WY342,70C0F2
VJ5324,888125
CA867,78076B
ST4921,3C4982
SQ446,76CE91
MS921,0100DD
FX77,A7DA54
F3113,710123
TW101,71C021
W62497,471F59
KE659,71BF09
MI987,76B4E2
BA139,4007F3
N42785,424373
LD209,7801BF
9W63,800AFB
SV735,710047
MF805,780D75
JL724,86E4FC
N4278,424370
EK9990,89616E
AC8,C023B7
CA960,78029A
CA166,78115C
JL33,86D5BE
SV575,71040C
FX5392,AC4D43
SV891,710052
EY451,896462
WY684,70C0F0
HA856,A46AD6
SG169,4BD154
S7890,424549
MH6119,750263
ZO3058,7368E1
CZ321,780995
UT591,424106
WZ704,42435D
KC401,48433E
NH879,86EB2E
UK819,800B70
LJ23,71BD55
UL893,7705C3
UK708,800B24
FB571,451E8D
UL407,770452
HU7888,780AE3
QR817,06A0FA
LO97,48AE06
Y7918,42493A
FZ521,8964CF
U63278,424914
KA996,78018A
AK5123,7503EC
QR931,06A0AC
DZ6256,781130
3U8092,7808B7
QV814,708026
BL519,8880F9
FZ743,8963BA
CA451,780873
OZ747,71BF36
6E67,8007E0
FZ746,8962B6
AK1575,750287
NH871,86CE6C
AK69,75033C
TG337,880046
KU418,70605E
AK128,7500E4
6E841,8007CC
HO1345,7806E4
8L9939,780904
6E442,800B73
OZ933,71BC17
AK29,7503BE
9W231,800BDB
G8175,800BB9
BX381,71C055
TK687,4BA90F
AI609,800544
UL196,7705C5
CX631,780A4A
PK731,760924
SL2702,883289
S7906,42456E
BK2783,780B4E
CZ458,7800EB
CX382,780A15
BY377,4067F5
RL8553,424311
OZ955,71BC36
HY275,507C40
LH762,3C6519
D7312,7501FB
BR35,8990E5
8L9946,7810C1
U69272,424617
CZ3626,78062C
CA175,780783
OZ609,71C018
OD612,750404
SL763,88328C
BL139,888144
TG325,885157
MH2626,750214
TW151,71C070
5J668,758227
S7926,424288
SQ635,76CEF4
CZ308,7808AF
TH3507,7503F3
FZ143,8962BA
JD5181,7800D3
G9428,896412
JL740,86E75E
SG85,8007EF
AL911,0101C2
SQ603,76CE8F
JT2611,8A06B4
AI967,800B63
6E638,800C6B
W5114,7335CF
QR113,06A0B6
JD5351,78096A
QR655,06A043
CI2026,8991AC
TG329,8850AE
6S309,710029
SG145,8005D5
AI775,800BFB
ZA493,70E054
FD3230,88044F
VJ247,4B9848
EK584,8963D6
QR8970,06A1E8
5J501,7583E7
EK810,8963E0
9W554,800505
9W512,8001CF
U22085,4073A0
QR8671,06A1A3
AK117,75043C
MB1404,4BB467
PO765,ABAF6E
LH8402,3C70C1
MH3,75028F
FD451,880857
UL124,77044E
6E81,800B12
HU7958,7808E2
CA4392,780635
JW179,842350
QR933,06A139
RS511,71C266
TR574,76D033
BK3061,780D58
LY78,738075
7C2803,71BA13
EY487,8964BC
CX2503,7801B7
BX735,71BF12
FD110,880C45
3U8856,780DDA
MU5067,780D9B
7C4903,71C296
S7583,424429
HO1125,7810E9
EY833,8961E6
CA784,7811A2
CA983,7808CC
VJ5316,888141
PN6298,780EF2
S24498,800173
IX248,8003F3
9W811,800C1D
QR1341,06A028
PA270,7609AE
GK93,84715C
TG684,885047
CZ3114,78070A
SU6895,400155
K4248,A9675D
FZ159,89632F
TG345,8850B0
7G9671,84C0AA
7C2203,71C032
9W544,800BBC
KE271,71BE24
XY255,424793
9C8891,781011
HU7345,780841
LH760,3C65A9
E47188,4891B0
U61001,4249CE
CX2533,7801B4
AF226,3965A7
NL709,760989
KE277,71C075
SU1140,424944
SV1261,71008A
BR55,8990E4
KU785,70605B
RU421,4243FE
CA821,780276
TW105,71C047
MU2071,7800F4
JL36,867556
KC873,4844A2
JD5267,7804D7
CA4309,780FB6
CO718,4C805F
UT267,424904
SQ7,76CEE7
SU6145,42433B
UT790,42493C
PC8202,4B8E41
QB2212,731A2E
EK125,89617D
CX663,780A2D
TR171,76D034
SV827,710120
MU2803,79A074
FD3113,880447
CV856,4D0103
IX115,80044B
3U8372,780375
9W552,80043E
FZ7453,896469
VN18,88813A
HO1284,780978
AK13,7503BF
FM865,7811CF
KZ203,8466C7
TV9880,780F87
DP105,4245A8
HU6359,7804A2
ME203,748026
SG51,800BDE
K4247,A9F2C6
JQ16,7C6BBB
G8552,800C68
PC2557,4B9067
J27,4242F4
CI62,89901C
SU1106,424591
9C8519,7811B1
OD666,750405
LD205,780A87
PO238,A5D87A
XJ703,886284
HX791,780A9F
CX161,780A36
D0542,405F31
9W235,800720
MS959,010029
CZ3035,78088D
EY440,89613D
6E277,800686
BS313,702082
GS7612,780BB4
RJ614,740734
MU2057,780EC0
MS855,01002F
MH179,75020A
CZ466,7805AA
FD153,880855
RU449,424563
WY816,70C0CE
SG912,800B80
6E556,800AF0
G9538,8963BD
MI474,76B442
AI624,800C48
6E6726,800AF5
EK357,896216
SL2746,883292
CZ6190,780DB1
U62456,42453A
9W119,8007DB
AF192,3949F1
QR675,06A0F5
OQ2310,79A007
UL217,770590
MH198,750204
JD5551,7804D8
TK5159,4BA9AC
IK2412,4242D7
CA838,780275
NH801,86EEA0
FX6024,AC30E9
JD5138,78002F
FM861,780E6F
9W522,80043D
CX133,780A0E
PC2094,4BB84E
AK187,75043F
6E794,800601
CA979,780B44
SV120,710110
CZ359,780BDA
9C8894,780F73
6R526,4CA724
G9369,8962D1
QR1364,06A053
UL281,773800
OZ707,71C060
KE658,71BC61
3U8582,7806AA
PR738,7583A0
PR493,7583A7
ZO4002,736834
RU497,4248E3
EY463,8964BF
9W127,80071F
HO1391,7800D9
SV3801,4BBC68
JD5187,780E66
FD562,880441
LH648,3C656C
MF803,780D78
QR8579,06A191
9W566,8001D1
W565,7335B1
SQ25,76CD70
MU5726,781016
TK93,4BA930
CN7128,7805A5
JD5290,780693
NL718,7609AB
QR237,06A097
D7701,75006F
TG916,885177
FX6013,A02CB5
WY695,70C04A
6E832,800B93
EK9872,8963A3
ZH9015,780B23
3S570,3C4586
BA16,40621C
TK2433,4BAB46
6E6184,800C39
MI492,76CC45
EK347,896459
QR841,06A136
SZ203,48435F
SV317,71018A
ET840,040075
LJ121,71C012
UL263,77058A
QR1362,06A04E
3U8837,780734
9W722,80040D
BA2042,405BFC
9W587,800707
ME267,5000BB
LD769,7801BE
TK2418,4BA90D
JT2623,8A0682
EY914,896356
FD645,880445
9C8600,78080E
PR211,75831C
SV637,71040B
6E488,800AF1
9C8593,7810D6
KA110,7801B9
QF130,7C531C
Y97073,742835
G9524,8963BE
AI383,800C08
SV261,71005D
SV124,71011D
HU7803,7811F9
SL524,8832B1
CA1132,780608
TK7145,4BCC2A
MU736,781101
MU2378,7809C1
9C8596,780DC5
SV961,4B8467
9C8980,780E42
SQ377,76CDA2
ZM561,6010B7
TG657,885152
G8278,8007B6
KU343,70604E
QR117,06A019
HY601,507C4C
FM846,7803E6
LY96,7380A9
UT523,4249DD
W5107,7335A4
AI905,80057B
BX731,71BF35
FX5231,A03423
8L9992,78055E
SV885,71005E
AI310,800734
CX846,780A3C
5J751,758109
NP361,0101B4
CX113,780A37
ET629,040127
Y97089,742834
GA982,8A03A6
MH52,75025E
FX5153,A7B07C
QB2299,731A32
IX165,8003B0
FM9221,78045B
ZE595,71C053
HU7086,780E2F
UO42,780A73
SU6628,4242C6
KE361,71BE02
VJ358,888142
CX2090,780233
TG935,885103
RD226,155BB0
LJ52,71BD58
5X11,A2D382
PC2532,4BB844
SV1117,710092
S797,4240C9
3U8736,7804D9
FD413,880459
9W497,8006FB
EK336,89630B
HO1093,780977
ZE512,71C029
FZ792,8962C0
ZF7734,4243F8
TG307,8850B4
JD5788,780CF1
G8584,800C61
TK109,4BB1C7
EK333,8960E1
MU5646,780790
QR851,06A0C2
9C8871,780CE0
SQ452,76CE97
FD525,880455
EK661,89621A
6E658,800C38
CA811,780E1F
HU7090,7812EB
CZ8357,78111F
G9466,896382
6E963,800B2B
KE8213,71BE23
DP191,4245A4
UH260,4B8694
MU236,781104
PS780,508366
9W568,800706
QD801,70E050
6E558,8007CD
3U8892,78095A
SQ317,76CD69
BI652,895054
KK831,4B8692
AI973,8003C1
KA870,780A4D
FD3168,88084C
HX538,780A6A
6E77,80071C
XY209,42416F
EY100,89649E
UK835,800B71
JD5314,7804D6
TK2835,4BAA0C
TR135,76D257
TK962,4BAA49
SG824,800BCC
9W831,800754
CX35,780A29
BY409,4006B4
3V52,44D101
BA143,40057D
6E776,800B11
NH880,86EB50
VN547,888021
FV5876,4CA8C1
I5773,800B8C
CZ348,780644
IY640,890021
TW663,71C024
CZ649,780278
SL8024,8832AB
6E6446,503C62
Z92101,68323E
VN493,88809D
SV759,7100B6
MT2614,406D73
PG733,8840F7
KE647,71BD53
SQ335,76CEF1
ET685,040132
SN3290,44CDC8
CZ312,780CB0
CZ444,780DAA
6H721,49D193
7C2903,71C261
SQ327,76CDB4
RJ740,7415A4
FD352,880841
NH885,86DA16
E3832,8838ED
SU234,424568
TK7191,4BA8D4
MU5176,79A05E
BL533,8880C4
SG487,800B83
FZ795,8963BC
UL229,770588
EY411,89619E
ME202,50005A
KE661,71BF20
EY265,8963AA
5X166,A3ADE9
NL762,76098E
CZ8479,780082
EK50,896193
FX5040,AC45D5
UK818,800BD2
JD5144,780FA5
EK112,8960DA
GF911,89405E
SV322,71011F
FM831,780C62
D7776,750299
VN695,888052
SV821,710056
AI991,800583
TW107,71C000
FZ8164,8964D3
CX96,780A1D
AI349,8005F0
G9387,8964C6
QR963,06A0DC
MS647,0100A5
TK172,4BA9E9
SU1105,424378
KE677,71C242
AI993,8004BD
FZ781,8964D0
YE5016,508380
CX270,780A67
AI963,800050
TW127,71C086
AI13,8004D5
HU7898,780E2E
DK2563,45D966
FD170,880851
AK131,750441
JW105,845CE4
U25832,40666C
SQ636,76CEF5
BA65,40068F
SC4075,78116D
HU7707,780707
MH180,750319
D83790,4CACE4
KE644,71BD34
G8127,800B0B
SU1186,42426A
RL7531,424273
Y97024,508385
MT209,406ADF
KU503,70602B
EK160,8963D1
3U8756,781014
OQ2360,780C3A
TW121,71C253
U67020,424615
PO998,ABC5B8
JD5272,780114
SQ51,76CDAF
IX815,8003F1
DD3170,881056
FM867,780D2E
ZO4102,73682A
SQ361,76CDA4
6E136,800C15
MH194,750260
6E193,800B96
AI191,8003E3
RO151,4A08EA
D7523,750074
6E436,800BEB
UL225,770591
NH8557,86E488
AI55,800C4A
BL799,8880C3
VJ5349,88813C
TK6452,4BA9F5
QR668,06A13A
TK7048,4BCC28
ET877,040077
QG527,8A06D0
CZ455,780654
FD531,880848
KU620,706026
SL8508,883295
9S276,AA8499
9W562,80040B
TK2853,4BA8D6
TK731,4BA9D4
UL144,770451
OQ2374,780523
6E127,800C12
S7896,424047
6E73,800B13
MU7061,7812A6
6E902,80068F
SV1631,710090
GA892,8A05AB
SM3498,0100E4
CI31,899022
S71149,42404E
SV527,710138
HU7994,780462
SU6561,40015D
CI7,89901A
ET808,040131
MH88,750256
EK317,89611D
EK587,89630A
IX3633,800396
OD8107,7503DA
DV702,503C79
SU6121,4243D4
NS3528,780F61
9W264,8007C5
9W628,8076C4
9C8678,78060C
TK7087,4BCC50
WT7277,4CC505
ME306,748018
UW9941,79800E
PR8315,758404
HU7770,780817
PC2093,4B9068
FT821,0101CB
SG16,4B8DF2
F3143,710128
FR5037,4CABB8
N42681,4242C5
AI540,8004D6
HX27,780A24
SQ7188,76CCD0
TK346,4BAAD2
TK7272,4BCC45
VJ466,8880CC
GF753,89407A
NH818,86D98E
ET347,040128
9W424,8001CD
FD105,880845
VN729,888054
VJ645,888155
ET925,040101
6E564,800BEC
TK65,4BA9CC
9W524,800B1C
PR102,75827C
NL711,7609CC
6H763,738286
FX90,AC34A0
3U8052,78092F
8Q82,4BBC4D
MU564,78008B
LJ4,71BF33
LY397,738054
RJ731,740733
MU5472,79A04D
ET3685,040060
ET920,040133
TW308,71C098
PC2020,4B8510
GJ8924,780E56
PR311,758368
QR1387,06A030
TK27,4BB14A
N4184,4B842C
6E1406,80064E
G8451,8004D8
SL8027,883290
EK78,8963F1
9W437,80015A
MS654,010090
SG612,80074D
AI11,800589
S732,4240CD
7C2306,71BF80
TK7042,4BA8CA
EY223,89642A
LO762,489785
3U8925,7805BA
QR540,06A0BD
HY531,507C4B
ET335,04007A
TR515,76D03A
LJ62,71BD59
BA73,406D7A
Z2616,758502
CI61,89901F
G9283,89638D
FZ899,89648C
5J803,75836B
3U8080,78080A
9W251,800C53
LH636,3C6572
EK529,89631A
MU251,780B2C
SG524,80070F
KU168,706050
PR117,7583EB
G8660,8004D0
HO1319,7804E6
CA769,78100A
KC859,4850A7
I35604,735033
IT216,89902D
6E6162,800BE0
SG846,800BC7
U21973,4070CB
CZ8451,780CCB
SK963,478D42
SV1583,7100B1
UT562,42425F
8Q63,4BBC4C
GS7958,7810C6
TK2467,4BAA4C
2P9742,75824E
MU543,7803BE
VJ171,8880C2
S24121,800607
QR442,06A1DF
6E894,800C16
3U8844,781013
EY271,896255
EK98,8960F1
MU5023,79A03E
FD584,880842
U63276,42441B
I51129,800C29
A67105,780EF3
5J589,7583D1
